GyroX,GyroY,GyroZ
0.05731,0.03195,0.02239
0.05731,0.03195,0.02239
0.05731,0.03195,0.02239
0.05731,0.03195,0.02239
0.05731,0.03195,0.02239
0.05731,0.03195,0.02239
0.03454,-0.006,-0.00797
0.03454,-0.006,-0.00797
0.03454,-0.006,-0.00797
0.03454,-0.006,-0.00797
0.03454,-0.006,-0.00797
0.03454,-0.006,-0.00797
0.01936,-0.006,-0.00038
0.01936,-0.006,-0.00038
0.01936,-0.006,-0.00038
0.01936,-0.006,-0.00038
0.01936,-0.006,-0.00038
0.01936,-0.006,-0.00038
0.00417,-0.04395,-0.00038
0.00417,-0.04395,-0.00038
0.00417,-0.04395,-0.00038
0.00417,-0.04395,-0.00038
0.00417,-0.04395,-0.00038
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.02695,0.00159,0.00721
0.03454,0.02436,0.0148
0.03454,0.02436,0.0148
0.03454,0.02436,0.0148
0.03454,0.02436,0.0148
0.03454,0.02436,0.0148
0.03454,0.02436,0.0148
0.01176,0.02436,-0.03074
0.01176,0.02436,-0.03074
0.01176,0.02436,-0.03074
0.01176,0.02436,-0.03074
0.01176,0.02436,-0.03074
0.01176,0.02436,-0.03074
-0.0186,-0.01359,0.02998
-0.0186,-0.01359,0.02998
-0.0186,-0.01359,0.02998
-0.0186,-0.01359,0.02998
-0.0186,-0.01359,0.02998
-0.0186,-0.01359,0.02998
0.05731,-0.006,0.07552
0.05731,-0.006,0.07552
0.05731,-0.006,0.07552
0.05731,-0.006,0.07552
0.05731,-0.006,0.07552
0.05731,-0.006,0.07552
0.04213,-0.01359,0.06793
0.04213,-0.01359,0.06793
0.04213,-0.01359,0.06793
0.04213,-0.01359,0.06793
0.04213,-0.01359,0.06793
-0.03378,0.00159,0.09829
-0.03378,0.00159,0.09829
-0.03378,0.00159,0.09829
-0.03378,0.00159,0.09829
-0.03378,0.00159,0.09829
-0.03378,0.00159,0.09829
0.00417,-0.02877,0.03757
0.00417,-0.02877,0.03757
0.00417,-0.02877,0.03757
0.00417,-0.02877,0.03757
0.00417,-0.02877,0.03757
0.00417,-0.02877,0.03757
0.04213,-0.01359,0.00721
0.04213,-0.01359,0.00721
0.04213,-0.01359,0.00721
0.04213,-0.01359,0.00721
0.04213,-0.01359,0.00721
0.04213,-0.01359,0.00721
0.05731,0.03195,0.02998
0.05731,0.03195,0.02998
0.05731,0.03195,0.02998
0.05731,0.03195,0.02998
0.05731,0.03195,0.02998
0.05731,0.03195,0.02998
0.02695,0.00918,0.0148
0.02695,0.00918,0.0148
0.02695,0.00918,0.0148
0.02695,0.00918,0.0148
0.02695,0.00918,0.0148
0.03454,0.00918,0.0148
0.03454,0.00918,0.0148
0.03454,0.00918,0.0148
0.03454,0.00918,0.0148
0.03454,0.00918,0.0148
0.03454,0.00918,0.0148
0.01176,-0.02877,-0.05351
0.01176,-0.02877,-0.05351
0.01176,-0.02877,-0.05351
0.01176,-0.02877,-0.05351
0.01176,-0.02877,-0.05351
0.01176,-0.02877,-0.05351
-0.00342,-0.01359,0.02998
-0.00342,-0.01359,0.02998
-0.00342,-0.01359,0.02998
-0.00342,-0.01359,0.02998
-0.00342,-0.01359,0.02998
-0.00342,-0.01359,0.02998
0.01176,0.00918,0.06793
0.01176,0.00918,0.06793
0.01176,0.00918,0.06793
0.01176,0.00918,0.06793
0.01176,0.00918,0.06793
0.01176,0.00918,0.06793
-0.03378,-0.01359,0.04516
-0.03378,-0.01359,0.04516
-0.03378,-0.01359,0.04516
-0.03378,-0.01359,0.04516
-0.03378,-0.01359,0.04516
-0.03378,-0.01359,0.04516
0.01936,-0.01359,-0.04592
0.01936,-0.01359,-0.04592
0.01936,-0.01359,-0.04592
0.01936,-0.01359,-0.04592
0.01936,-0.01359,-0.04592
-0.01101,-0.01359,-0.02315
